time	epoch_time	flow	exhaust	p_flow	N2O_ppb	CO2_ppm	CH4_ppb	H2O_ppm	NH3_ppb	bin_INC2	bin_INC_valve	days	sd_flow	sd_exhaust	sd_N2O_ppb	sd_CO2_ppm	sd_CH4_ppb	sd_H2O_ppm	sd_NH3_ppb	rg_flow	rg_exhaust	rg_N2O_ppb	rg_CO2_ppm	rg_CH4_ppb	rg_H2O_ppm	rg_NH3_ppb
2015-08-06 16:54:00	1438880040	374.9312	62.7915	49.1491	421.081	400.625	3985.365	438.853	4.283	1-0-00-0000-0000	1	-4.964583	0.1909	0.149	3.057	0.25	0.597	23.411	0.181	375.3731	63.1828	7.307	0.76	2.169	88.768	0.686
2015-08-06 19:54:00	1438890840	374.8884	62.2549	49.1227	424.81	401.006	3984	349.83	3.703	1-0-00-0000-0000	1	-4.839583	0.2144	0.1709	3.929	0.485	0.821	49.247	0.221	376.0359	62.7784	10.471	1.858	2.456	134.088	0.818
2015-08-06 22:54:00	1438901640	374.8691	61.3829	49.1241	419.123	400.55	3984.462	844.96	5.639	1-0-00-0000-0000	1	-4.714583	0.1898	0.1717	1.277	0.346	0.651	38.628	0.126	375.2902	61.8029	4.586	1.181	2.097	143.735	0.474
2015-08-07 01:54:00	1438912440	374.8546	61.8387	49.1359	415.273	400.924	3985.438	811.15	4.911	1-0-00-0000-0000	1	-4.589583	0.1933	0.1463	3.252	0.367	0.879	32.141	0.636	375.2488	62.1944	9.523	1.268	2.914	74.81	2.118
2015-08-07 04:54:00	1438923240	374.8919	61.788	49.1456	419.928	400.227	3985.718	930.661	5.387	1-0-00-0000-0000	1	-4.464583	0.1609	0.1149	1.425	0.437	0.493	16.843	0.203	375.2902	62.0468	4.673	1.275	1.54	56.644	0.775
2015-08-07 07:54:00	1438934040	374.8	62.5386	49.1276	411.251	400.941	3986.667	951.036	6.127	1-0-00-0000-0000	1	-4.339583	0.2118	0.1619	2.989	0.434	0.596	23.644	0.513	375.3731	62.9774	8.775	1.537	2.039	71.277	1.955
2015-08-07 14:42:00	1438958520	374.8912	64.878	49.1428	418.757	400.78	3985.309	632.906	4.823	1-0-00-0000-0000	1	-4.056250	0.16	0.1287	2.086	0.423	0.426	21.109	0.24	375.2488	65.1403	6.651	1.659	1.691	75.814	0.78
2015-08-07 17:42:00	1438969320	374.9057	64.7353	49.1442	413.169	400.19	3984.589	876.984	5.435	1-0-00-0000-0000	1	-3.931250	0.1741	0.1033	1.962	0.288	2.593	24.209	0.625	375.4145	64.967	5.796	0.942	9.586	89.783	1.95
2015-08-07 20:42:00	1438980120	374.8933	64.2002	49.1498	416.95	400.798	3984.92	797.304	5.099	1-0-00-0000-0000	1	-3.806250	0.1931	0.1298	1.528	0.625	0.506	14.645	0.233	375.3317	64.4471	4.255	2.328	1.917	55.413	0.773
2015-08-07 23:42:00	1438990920	374.8567	64.4138	49.156	409.789	400.477	3986.554	414.661	4.813	1-0-00-0000-0000	1	-3.681250	0.1826	0.1327	1.225	0.589	1.545	36.178	0.692	375.2902	64.6589	4.306	1.92	6.563	110.466	2.483
2015-08-08 02:42:00	1439001720	374.8228	64.5089	49.2185	409.549	400.818	3985.856	825.573	5.727	1-0-00-0000-0000	1	-3.556250	0.1695	0.1694	2.649	0.105	1.01	20.283	0.244	375.166	65.5061	7.102	0.421	3.954	75.297	0.755
2015-08-08 05:42:00	1439012520	374.8194	64.1746	49.1588	426.821	401.166	3985.027	684.641	4.835	1-0-00-0000-0000	1	-3.431250	0.1834	0.1052	6.467	0.392	0.529	20.319	0.699	375.2488	64.3958	16.84	1.171	1.877	73.764	2.372
2015-08-08 08:42:00	1439023320	374.8511	63.8611	49.1442	415.854	400.979	3986.005	738.839	5.071	1-0-00-0000-0000	1	-3.306250	0.1985	0.1028	3.555	0.555	1.143	34.518	0.897	375.2902	64.0685	8.988	1.713	3.752	95.247	2.906
2015-08-08 11:42:00	1439034120	374.8732	64.8749	49.1512	409.617	400.754	3986.538	537.534	5.246	1-0-00-0000-0000	1	-3.181250	0.1603	0.1148	1.301	0.745	0.693	44.764	0.393	375.4559	65.1146	4.69	2.762	2.154	163.727	1.176
2015-08-08 14:42:00	1439044920	374.9216	65.8726	49.1491	407.44	400.741	3985.289	540.653	5.174	1-0-00-0000-0000	1	-3.056250	0.1902	0.1225	2.256	0.305	0.624	18.402	0.621	375.4145	66.0838	7.478	0.92	2.096	66.563	2.361
2015-08-08 17:42:00	1439055720	374.9112	65.2339	49.1456	416.843	400.46	3985.977	516.108	4.728	1-0-00-0000-0000	1	-2.931250	0.1752	0.1223	0.842	0.223	0.557	46.871	0.594	375.2902	65.5639	3.56	0.689	1.815	136.986	1.54
2015-08-08 20:42:00	1439066520	374.8594	64.4124	49.1352	408.477	400.275	3985.534	723.728	5.84	1-0-00-0000-0000	1	-2.806250	0.1816	0.1471	1.342	0.828	0.967	12.39	0.519	375.2488	64.691	5.421	2.108	3.498	42.473	1.837
2015-08-08 23:42:00	1439077320	374.8815	66.2638	49.1477	420.182	400.514	3985.57	653.575	5.804	1-0-00-0000-0000	1	-2.681250	0.2013	0.1047	3.289	0.31	0.569	29.442	0.414	375.6216	66.5138	9.247	1.188	2.699	90.738	1.4
2015-08-09 02:42:00	1439088120	374.8401	67.9709	49.1477	437.764	400.667	3985.97	302.089	3.789	1-0-00-0000-0000	1	-2.556250	0.1918	0.121	2.174	0.57	1.13	72.523	0.469	375.166	68.1953	6.44	1.644	4.23	255.252	1.466
2015-08-09 05:42:00	1439098920	374.8498	67.7283	49.1428	408.632	400.837	3984.866	426.461	5.688	1-0-00-0000-0000	1	-2.431250	0.2108	0.1274	1.477	0.15	1.035	29.452	0.931	375.3317	68.0028	4.633	0.445	3.248	96.142	2.377
2015-08-09 08:42:00	1439109720	374.8284	67.8562	49.1414	424.705	400.689	3984.569	740.544	6.179	1-0-00-0000-0000	1	-2.306250	0.1639	0.1467	2.445	0.336	1.158	12.362	0.295	375.2074	68.1311	8.121	1.118	3.869	41.387	1.193
2015-08-09 11:42:00	1439120520	374.9057	69.0907	49.2011	415.905	400.725	3984.538	1191.798	7.828	1-0-00-0000-0000	1	-2.181250	0.1999	0.1281	2.836	0.238	1.787	7.228	0.359	375.5388	69.5752	10.013	0.808	5.963	27.576	1.26
2015-08-09 14:42:00	1439131320	374.9071	69.7873	49.1539	407.517	399.877	3986.043	537.587	6.154	1-0-00-0000-0000	1	-2.056250	0.1505	0.1093	2.29	0.188	0.943	28.389	0.698	375.2488	70.0117	7.599	0.686	2.991	103.201	2.46
2015-08-09 17:42:00	1439142120	374.8863	69.9642	49.1525	423.551	400.171	3986.083	813.907	6.712	1-0-00-0000-0000	1	-1.931250	0.1783	0.1	4.524	0.344	2.187	22.7	0.542	375.4559	70.1336	13.256	0.956	8.034	75.302	2.016
2015-08-09 20:42:00	1439152920	374.8698	68.1356	49.1407	406.301	400.69	3986.085	628.073	6.238	1-0-00-0000-0000	1	-1.806250	0.1714	0.0874	1.23	0.113	3.225	22.961	0.13	375.166	68.3044	3.912	0.376	11.851	61.989	0.465
2015-08-09 23:42:00	1439163720	374.8394	68.0086	49.147	426.935	400.329	3985.14	690.739	6.777	1-0-00-0000-0000	1	-1.681250	0.198	0.1075	2.552	0.3	1.214	12.868	0.098	375.2488	68.2852	8.273	1.124	5.301	34.813	0.401
2015-08-10 02:42:00	1439174520	374.8663	68.3577	49.1477	416.562	400.317	3986.005	816.956	6.801	1-0-00-0000-0000	1	-1.556250	0.1766	0.1296	1.334	0.287	1.322	4.491	0.51	375.2902	68.7088	4.529	1.056	5.238	15.53	1.437
